Price,Area,Rooms,Bathrooms,Floor Level,Year Built,Seller Type,View,Payment Method,Location,Amenities,Price_Numeric,Calculated_Price_Per_Meter
"9,250,000 EGP",178.0,3.0,3 bathroom,7.0,2025.0,Developer,Main Street,Installments,Unknown,Basic,9250000.0,51966.29
"9,680,000 EGP",176.0,3.0,1 bathroom,13.0,2027.0,Broker,Plaza,Cash or Installments,Muruj,Basic,9680000.0,55000.0
"6,250,000 EGP",190.0,3.0,3 bathroom,1.0,2025.0,Broker,Main Street,Cash,Unknown,Basic,6250000.0,32894.74
"8,000,000 EGP",200.0,3.0,2 bathroom,2.0,2024.0,Broker,Other,Cash,Al Banafseg 3,Basic,8000000.0,40000.0
"8,000,000 EGP",144.0,2.0,2 bathroom,2.0,2020.0,Broker,Main Street,Cash or Installments,ليك فيو ريزيدنس,فيو,8000000.0,55555.56
"4,500,000 EGP",250.0,4.0,2 bathroom,2.0,2026.0,Developer,Corner,Cash or Installments,Bait El Watan,Basic,4500000.0,18000.0
"3,573,000 EGP",167.0,3.0,2 bathroom,2.0,2027.0,Broker,Lake,Cash or Installments,كمبوند وعد,Basic,3573000.0,21395.21
"13,600,000 EGP",120.0,2.0,2 bathroom,2.0,2025.0,Broker,Plaza,Cash or Installments,Wondermark Compound,Finished,13600000.0,113333.33
"10,786,769 EGP",133.0,2.0,1 bathroom,4.0,2025.0,Broker,Sea View,Installments,منتجع سكانديك,Basic,10786769.0,81103.53
"4,820,000 EGP",220.0,3.0,3 bathroom,3.0,2025.0,Broker,Other,Cash,Beit El Watan,View,4820000.0,21909.09
"7,000,000 EGP",240.0,3.0,2 bathroom,2.0,2025.0,Broker,Main Street,Cash,6Th Tourist Area,Basic,7000000.0,29166.67
"5,000,000 EGP",89.0,2.0,2 bathroom,3.0,2025.0,Broker,Garden,Cash,Unknown,Basic,5000000.0,56179.78
"7,000,000 EGP",240.0,3.0,3 bathroom,3.0,2025.0,Broker,Main Street,Cash,Zayed Heights Compound,Basic,7000000.0,29166.67
"11,900,000 EGP",130.0,2.0,3 bathroom,1.0,2037.0,Broker,Garden,Cash or Installments,Unknown,"Finished, Installment",11900000.0,91538.46
"2,850,000 EGP",122.0,3.0,1 bathroom,2.0,2024.0,Developer,Main Street,Cash or Installments,Jasmine Gardens Compound,"Garden, Finished",2850000.0,23360.66
"6,900,000 EGP",128.0,2.0,2 bathroom,3.0,2025.0,Broker,Lake,Cash,El Patio Oro,"View, Pool",6900000.0,53906.25
"17,150,000 EGP",243.0,3.0,4 bathroom,1.0,2026.0,Broker,Garden,Cash or Installments,Swan Lake Residence,"View, Finished, Installment",17150000.0,70576.13
"10,000,000 EGP",127.0,2.0,2 bathroom,3.0,2026.0,Broker,Main Street,Installments,Iris,Basic,10000000.0,78740.16
"6,294,876 EGP",127.0,1.0,1 bathroom,,2026.0,Broker,Garden,Cash or Installments,Unknown,Basic,6294876.0,49565.95
"5,351,622 EGP",78.0,1.0,1 bathroom,,2026.0,Broker,Garden,Cash or Installments,Unknown,Basic,5351622.0,68610.54
"6,068,322 EGP",110.0,1.0,1 bathroom,2.0,2026.0,Broker,Garden,Cash or Installments,Unknown,Basic,6068322.0,55166.56
"4,680,000 EGP",78.0,1.0,1 bathroom,,2026.0,Broker,Pool,Cash or Installments,Unknown,View,4680000.0,60000.0
"2,316,160 EGP",47.0,1.0,1 bathroom,1.0,2027.0,Broker,Sea View,Cash,Unknown,Basic,2316160.0,49280.0
"5,100,000 EGP",85.0,2.0,1 bathroom,,2025.0,Broker,Sea View,Cash or Installments,Unknown,View,5100000.0,60000.0
"5,654,026 EGP",104.0,1.0,1 bathroom,2.0,2026.0,Broker,Garden,Cash or Installments,Unknown,Basic,5654026.0,54365.63
"4,300,000 EGP",175.0,3.0,3 bathroom,2.0,2025.0,Broker,Garden,Cash,السياحية الشمالية الأولى,فيو,4300000.0,24571.43
"11,280,000 EGP",235.0,4.0,3 bathroom,9.0,2023.0,Broker,Main Street,Installments,Abd El,Basic,11280000.0,48000.0
"4,100,000 EGP",175.0,3.0,2 bathroom,4.0,2000.0,Broker,Main Street,Cash,شارع الصحابة الكرام,Basic,4100000.0,23428.57
"13,860,000 EGP",197.0,4.0,4 bathroom,2.0,2025.0,Broker,Main Street,Cash or Installments,Haptown Hassan Allam,Basic,13860000.0,70355.33
"14,000,000 EGP",345.0,3.0,4 bathroom,12.0,2013.0,Broker,Main Street,Cash,Unknown,Basic,14000000.0,40579.71
"2,800,000 EGP",150.0,3.0,2 bathroom,3.0,2019.0,Private Owner,Corner,Cash,El Hosary,Basic,2800000.0,18666.67
"4,340,000 EGP",230.0,4.0,2 bathroom,1.0,2026.0,Developer,Main Street,Cash or Installments,Bait El Watan,Basic,4340000.0,18869.57
"3,400,000 EGP",140.0,2.0,2 bathroom,10.0,1999.0,Broker,Main Street,Cash,شارع أحمد حسن,Basic,3400000.0,24285.71
"5,750,000 EGP",230.0,3.0,3 bathroom,1.0,2026.0,Private Owner,Side Street,Cash or Installments,الحي الرابع,Basic,5750000.0,25000.0
"7,000,000 EGP",220.0,3.0,3 bathroom,,,EG-6590574,Garden,Cash,Unknown,Basic,7000000.0,31818.18
"2,854,000 EGP",62.0,1.0,1 bathroom,1.0,2025.0,Broker,Main Street,Cash,Esse Residence,Basic,2854000.0,46032.26
"27,000,000 EGP",164.0,2.0,3 bathroom,4.0,2027.0,Cash or Installments,Nile View,Cash or Installments,Canal Walk Island,Basic,27000000.0,164634.15
"3,100,000 EGP",120.0,3.0,1 bathroom,8.0,2000.0,Private Owner,Corner,Cash,Unknown,Basic,3100000.0,25833.33
"7,700,000 EGP",119.0,2.0,2 bathroom,1.0,2029.0,Broker,Garden,Cash or Installments,Unknown,Basic,7700000.0,64705.88
"7,350,000 EGP",237.0,4.0,3 bathroom,2.0,2025.0,Developer,Garden,Cash or Installments,American University Housing,Basic,7350000.0,31012.66
"1,700,000 EGP",100.0,2.0,1 bathroom,7.0,2019.0,Developer,Other,Cash,Unknown,Basic,1700000.0,17000.0
"2,650,000 EGP",51.0,1.0,1 bathroom,1.0,2029.0,Developer,Garden,Cash or Installments,Notion Compound,Basic,2650000.0,51960.78
